"transactionType","productType","programType","occupanctType","equityTakeOutAmount","varianceExceptionReceived","cityName","provinceCode","postalCode","fsa","dwellingType","approvedLendingAreas","loanAmount","policyExceptionPpolicyExceptionPolicyExceptionReceivedolicy","ltv","downPaymentSource","creditScore","primaryApplicantInd","gds","tds","qualifiedIncomeInd","totalIncome","residencyType","areaName","purchasePrice","amortazationTermsInYears","previouslyInsure","propertyOwnershipType","baseAmount"
"Transfer","Alternative","NewToCanada","OwnerOccupied","200000","Not Received","Sylvan Lake","AB","M2N 1N8","T8L","ApartmentHighRise","Medium","1460783","Not Received","0.75","SecondaryFinancing","34","Qualified","57.979044810166656%","7.1194192323617544%","Qualified","988484411","Not Primary","Rest of Manitoba","615896.3","17","Not Previously Insured","Not Previously Insured","303110.44"
"Refinance","Prime","CreditRestorer","Rental","35353","Not Received","Port Alberni","BC","M2N 4Y8","T8L","Fourplex","Medium","1460783","Not Received","0.95","SweatEquity","144","Not Qualified","14.125064723149656%","9.350437422288799%","Not Qualified","2124945316","Primary","Whistler","5891780.5","34","Not Previously Insured","Previously Insured","861626.9"
"Purchase","Alternative","Rental","OwnerOccupiedPlusRental","346422277","Received","Iqaluit ","NU","M2N 6X2","K6V","SemiDetached","Medium","1460783","Not Received","0.75","SaleOfExistingProperty","92","Qualified","30.314998286208876%","3.189659094923054%","Qualified","1145977634","Not Primary","Victoria","9594237.0","26","Not Previously Insured","Previously Insured","403214.12"
"Purchase","Prime","CreditRestorer","SecondHome","1860682479","Received","Alberton","PE","M2N 4T4","K6V","ApartmentLowRise","Major","1460783","Not Received","0.65","Borrowed","111","Qualified","31.99318386534102%","2.314600092044947%","Not Qualified","2085150263","Primary","Rest of Ontario","8186980.0","17","Not Previously Insured","Previously Insured","383157.62"
"Purchase","Alternative","NewToCanada","SecondHome","1074425232","Received","Iqaluit ","NU","M2N 7H6","M2N","ModularHomeDetached","Major","1460783","Not Received","0.95","ExistingEquity","407","Not Qualified","32.603004762147414%","21.403957511477348%","Not Qualified","774715828","Not Primary","Mission","9360226.0","5","Not Previously Insured","Not Previously Insured","253925.86"
"Transfer","Prime","NewToCanada","OwnerOccupied","200000","Not Received","Town of Inuvik","NT","M2N 5O3","M2N","TriPlexDetached","Major","1460783","Not Received","0.65","Borrowed","361","Not Qualified","34.40043337403423%","41.97387230977154%","Qualified","2108947964","Not Primary","Whistler","2171225.2","38","Previously Insured","Previously Insured","258083.23"
"Purchase","Prime","BFSAssist","Rental","2055976877","Received","Saanich","BC","M2N 4Y8","T8L","DuplexDetached","Major","1460783","Not Received","0.8","PersonalCash","13","Qualified","13.13518777570531%","27.314992851946208%","Not Qualified","1374018544","Not Primary","Squamish","4675215.5","5","Not Previously Insured","Previously Insured","821632.7"
"Transfer","Alternative","CreditRestorer","OwnerOccupied","200000","Not Received","West Lincoln","ON","M2N 3D5","M2N","TriPlexSemiDetached","Major","1460783","Not Received","0.65","Grants","115","Not Qualified","34.664378413912104%","47.41696315839808%","Not Qualified","624325627","Primary","Greater Toronto Area","889359.06","41","Not Previously Insured","Previously Insured","444939.66"
"Refinance","Prime","Standard","OwnerOccupiedPlusRental","10017","Not Received","Marieville","QC","M2N 2M0","J5R","Detached","Major","1460783","Not Received","0.6","RRSP","267","Not Qualified","18.1192600042411%","20.84882164929463%","Not Qualified","6977436","Primary","Whistler","288190.6","26","Not Previously Insured","Previously Insured","648273.0"
"Refinance","Prime","Rental","OwnerOccupied","120518","Not Received","Thompson","MB","M2N 5I0","J5R","FourPlexSemiDetached","Major","1460783","Not Received","0.9","SecondaryFinancing","515","Not Qualified","41.73173040675551%","59.386381795810216%","Not Qualified","1933334902","Not Primary","Victoria","5123629.5","36","Not Previously Insured","Not Previously Insured","174004.84"
"Transfer","Prime","NewToCanada","SecondHome","200000","Not Received","Paradise","NL","M2N 0F7","T8L","ApartmentHighRise","Medium","1460783","Not Received","0.65","Borrowed","274","Qualified","23.47606856091665%","58.97910003653084%","Not Qualified","1508676644","Not Primary","Squamish","8694004.0","32","Previously Insured","Previously Insured","165063.52"
"Refinance","Prime","BFSAssist","OwnerOccupiedPlusRental","162275","Not Received","Amherst","NS","M2N 1P5","T8L","Stacked","Medium","1460783","Not Received","0.8","SweatEquity","322","Qualified","39.426859840222214%","42.11330284716817%","Qualified","1912556011","Primary","Victoria","1807116.5","17","Not Previously Insured","Not Previously Insured","56707.062"
"Transfer","Alternative","CreditRestorer","SecondHome","200000","Not Received","Argentia","NL","M2N 8G8","M2N","FourPlexDetached","Major","1460783","Not Received","0.75","SecondaryFinancing","690","Qualified","4.9577532248180445%","44.74299157639962%","Qualified","1106547087","Primary","Whistler","6975413.5","34","Not Previously Insured","Previously Insured","948479.9"
"Transfer","Alternative","CreditRestorer","OwnerOccupiedPlusRental","200000","Not Received","Grand Falls","NB","M2N 4V0","A1N","Stacked","Medium","1460783","Not Received","0.95","ExistingEquity","218","Qualified","40.76742994597458%","16.392723638152226%","Qualified","1925120761","Not Primary","Rest of British Columbia","9206075.0","26","Not Previously Insured","Not Previously Insured","557729.7"
"Purchase","Prime","BFSAssist","SecondHome","305646318","Received","Invermere","BC","M2N 4W5","K6V","Stacked","Major","1460783","Not Received","0.65","Grants","713","Not Qualified","57.80514658355975%","7.274277287494117%","Qualified","1933115887","Primary","Calgary","8743235.0","49","Not Previously Insured","Previously Insured","559946.5"
"Transfer","Prime","BFSAssist","Rental","200000","Not Received","Town of Inuvik","NT","M2N 6G6","A1N","FourPlexSemiDetached","Major","1460783","Not Received","0.95","SaleOfExistingProperty","379","Not Qualified","4.9677313003283%","54.101127069509%","Not Qualified","1642990436","Primary","Abbotsford","2010843.2","5","Previously Insured","Previously Insured","144030.25"
"Purchase","Prime","BFSAssist","SecondHome","1734048067","Received","Yellowknife","NT","M2N 8D6","J5R","ApartmentHighRise","Major","1460783","Not Received","0.9","Borrowed","77","Qualified","44.73344994612597%","11.698695272122846%","Not Qualified","90822502","Not Primary","Squamish","3344042.5","4","Not Previously Insured","Previously Insured","575189.7"
"Purchase","Prime","Standard","OwnerOccupied","1927094303","Received","Iqaluit ","NU","M2N 5A1","J5R","FourPlexSemiDetached","Medium","1460783","Not Received","0.65","Other","555","Qualified","39.91773658724584%","6.183986253122942%","Qualified","1923798164","Primary","Victoria","2892369.2","17","Not Previously Insured","Previously Insured","217869.86"
"Refinance","Prime","NewToCanada","Rental","180045","Not Received","Brigus","NL","M2N 8K2","T8L","TriPlexDetached","Major","1460783","Not Received","0.6","SecondaryFinancing","162","Not Qualified","52.329989989433436%","21.841386460202084%","Qualified","1292806562","Not Primary","Abbotsford","1866659.4","4","Not Previously Insured","Not Previously Insured","624144.44"
"Transfer","Prime","CreditRestorer","SecondHome","200000","Not Received","Flin Flon","MB","M2N 4Y6","M2N","Duplex","Medium","1460783","Not Received","0.6","Own Resources","398","Qualified","23.526702601124075%","35.547492835082494%","Not Qualified","2032133644","Not Primary","Winnipeg","6261119.5","29","Previously Insured","Previously Insured","442766.44"
